age,dec,inc,lat,lon
75,358.6,61.4,47.8,2.4
75,352.8,63.4,50.6,5.3
75,356.4,56.3,45.6,5.6
75,356.8,63.9,49.4,6.2
75,2,68.2,51.85,5.85
75,2.7,61.9,53.6,359.4
75,359.1,65.6,53.6,359.4
79,358,59.1,40.8,14.5
79,355,59.1,40.8,14.5
79,351.9,57,40.82,14.42
79,348.3,56.8,40.83,14.42
79,1.2,58,40.8,14.5
79,353.9,59.9,40.83,14.42
79,358.5,60.4,40.83,14.42
79,354.1,51.8,40.8,14.5
79,346.6,52.6,40.8,14.5
79,352.9,54.7,40.8,14.5
79,359.2,56.8,40.82,14.4
79,352.5,55.8,40.82,14.4
80,358.6,61,46.6,3.4
80,359.7,63,48.5,1.5
85,355.3,62.6,49.1,6.6
90,357.8,62.5,48.6,3.6
90,9.3,62.5,51.4,358.3
95,1.2,66.2,52.7,0.9
96,358.7,64.4,52.7,0.9
100,351.9,56.2,46.9,16.6
100,355.1,57.6,46.9,16.6
100,2.7,60.5,43.3,2.8
100,358,57.5,43.5,5.9
100,3.5,61.8,48.9,1.1
100,355.3,62.5,50.5,2.6
100,354.5,60.2,47.4,1
100,357,62.4,49.4,6.2
100,355.1,57.6,46.85,16.58
100,349.3,63,46.85,16.58
100,5.6,68.3,52.15,10.42
100,358,67.2,52.3,0.6
100,351,70.4,51.92,358.14
100,11.5,56.1,41.48,2.2
100,350.5,56.7,41.24,1.17
105,0.2,68.2,55,357.2
110,357.5,62.9,49.1,2.3
112,1.2,64.3,50.4,5.4
115,3.6,66.3,52.5,358.4
120,350.5,66.4,52.5,358.4
120,340.2,57.4,42.3481,3.5172
120,0.9,63.4,51.1,0.1
125,358,65.8,52.5,358.4
125,347.5,66.4,52.5,358.4
125,7.8,63.7,50.68,357.91
133,358.3,66.9,52.5,358.4
135,349.4,61.2,49.1,6.6
137,356.6,65.9,54.9,357.5
137,356.1,64.7,54.9,357.5
137,347.8,55.3,41.24,1.17
140,359.4,65.8,54.9,357.5
140,359.4,66.1,54.9,357.5
148,354.8,64.4,52.5,358.4
150,4,59.9,52.5,358.4
150,354.4,65.5,52.7,359.4
150,359.4,58.8,50.7,357.9
150,356.4,66.3,54.4,358.4
150,5.3,54.5,41.17,1.09
150,357,60,47.1,0.5
150,359.9,56,43.9,1.8
150,358.4,62.3,50.3,3.5
150,357.5,66.4,50.3,3.5
150,9.5,67.3,51.2,6.3
157,355.5,42.4,51.34,14.5
165,13,64.2,52.6,358.5
165,2.4,59.7,53.5,358.9
165,357.2,60,53.5,358.9
165,356.6,59.5,46.5,3.9
165,357,62.2,48.6,3.6
167,358,65.1,52.6,358.5
168,2.2,61.5,53.5,358.9
170,0.1,57.5,49.1,6.6
170,356.8,60.3,49.1,6.6
172,4.2,64.7,52.6,358.5
175,358.9,60.4,47.3,1.3
175,353.6,64.6,47.3,1.3
175,1.1,56.9,45.6,1.6
175,6.4,51.6,41.1,14.5
180,357.5,53.7,45.8,3.4
180,358.5,58.8,46.3,3.4
180,357.6,57.9,46.6,3.3
180,357.6,46.5,45.8,3.4
182,354.7,58.2,45.8,3.4
187,3.4,61.3,51.7,6.4
188,356.3,61.7,50.2,3.2
190,357.3,59.2,45.8,3.4
195,0.7,58.2,46.4,6.5
200,355.4,59.3,49.28,8.16
200,3.6,65.8,52.19,13.67
200,359.7,56.8,43.3,2.5
200,359.3,57.7,46.6,4.1
200,356.3,55.3,46.6,4.1
200,354.6,59.2,47,4.3
200,358.5,61.3,47.58,16.87
200,6.8,62.1,47.58,16.87
200,358.5,61.3,47.5,16.87
200,1.9,63.5,47.23,16.63
200,350.7,64.4,47.23,16.63
200,352.6,59.2,47.23,16.63
200,355.9,64.8,51.68,6.45
200,0.2,62.2,54.9,357.5
200,9.4,62.8,53,358.5
205,355.7,56.4,52.5,358.4
205,355.9,57.5,47,4.3
215,0.7,62.4,52.5,359.8
215,0.1,62.9,47,1.6
220,2.5,56.4,51.1,359.1
220,0.8,64.2,52.79,359.71
220,354.6,63.5,51.75,0.67
225,1.5,57.2,52.3,359.8
225,1.9,57.7,51.2,359.1
225,359.9,64.4,51.75,0.67
225,354.1,64.1,51.75,0.67
225,357.3,58.8,48.7,1.7
226,359,67.6,52.6,358.8
226,359.6,68.7,52.6,358.8
226,359.1,62.7,53.7,357
226,11.6,66.3,53.2,359.6
226,0.6,70.6,53.2,359.6
226,10.6,72.5,53.2,359.6
226,356.1,61.8,51,0.2
226,352.7,60.7,51,0.2
226,353,64.1,51,0.2
226,357,52.6,51.1,359.1
226,2.4,62.8,51.5,0.4
226,358.1,70.6,52.6,358.8
226,359.9,69.8,52.6,358.8
226,15.1,68.8,52.6,358.9
226,5.1,66.9,52.6,358.9
226,0.7,67.3,54.7,358.3
226,351.8,55.9,54.7,358.3
226,2.4,69.9,54.7,358.3
226,19.8,68.8,54.9,357.1
230,358.1,60.9,52.6,358.5
230,352.7,64.4,52.6,358.5
245,5.4,53.7,51.1,359.1
250,356,60.9,52.5,359.6
250,4.3,60,53.5,358.9
250,3.7,54.5,51,0.2
250,358.3,59.5,49.4,2.1
250,357.9,62.2,48.4,3
250,354.6,60.2,52.14,10.95
255,356.5,56,41.85,3.11
256,5.4,57.6,51.39,14.73
260,357,65.7,52.3,0.8
265,2.4,57.4,52.5,358.4
265,2.7,58.1,52.5,358.4
270,358.8,64.6,52.5,358.4
270,357.1,58.6,46.6,4.1
275,358.7,61.6,49.1,2.3
275,351.5,59.7,51.9,357.1
275,0.5,57.5,51.9,357.1
275,355.4,60.6,47.68,16.62
280,356.2,62.7,50.6,6.8
280,0.2,63.4,50.6,6.8
280,2.2,60.3,52.5,358.4
285,2.1,63.2,52.6,358.5
285,0.9,65.3,52.6,358.5
287,357.2,61,48.1,2.3
287,358.5,61.5,48.1,2.3
287,351.1,63.5,48.1,2.3
287,4.2,59.5,48.1,2.3
287,357.8,58.3,48.1,2.3
290,0.2,61.7,48.1,2.3
290,358.3,61.6,48.1,2.3
290,356.3,60.7,48.1,2.3
295,359.7,65.1,52.5,358.4
300,352.1,61.2,51.8,0.6
300,0.8,61,48.8,7.2
300,356.2,58.7,48.5,2
300,359.9,66.2,52.5,6.27
300,1.9,68.8,53.2,359.6
300,1.2,66.1,54.9,358.4
300,1.7,65.2,54.9,358.4
300,0.4,60.6,44.5,11.08
305,356.4,63,51.5,0.2
305,359.5,61.3,49.9,6.7
310,4.7,64.8,52.5,359.6
315,0.2,65.9,50.9,358.3
315,355.2,65.9,50.9,358.3
315,2.2,64.1,50.9,358.3
321,357,53.5,46.928,14.557
325,1.3,64.9,51.5,0.26
325,358.9,65.6,52.3,358.6
325,351,64.8,52.5,358.4
325,8,62.3,49.64,8.36
335,358,61.3,52.5,358.4
340,6,59,53.5,358.9
340,359,59,53.5,358.9
340,1,61.5,53.5,358.9
340,2,61.5,53.5,358.9
340,356.2,61.6,53.5,358.9
343,353,63.7,51.5,358.3
350,358.5,64.8,50.9,358.3
350,357.7,61.4,51.4,358.6
350,359.3,62.4,51.4,358.6
350,355,60.9,51.4,358.6
350,353.8,65.9,52.5,358.4
350,355,63.3,52.5,359.6
350,356.8,64.9,52.5,359.6
350,356.7,64.2,51.2,0.1
350,2.1,50.8,40.83,16.27
350,1.2,58.7,46.5,16.7
350,13.4,68,50.6,2.4
350,359.7,62.7,49.1,2.1
350,6.9,62.7,54.9,358.5
